POISONING AS,POISONED AS,IMPACTED AS,VISIBILITY CHANGE,NEW DISCOVERED CONNECTION COUNT,NEW P2P CONNECTIONS DISCOVERED,NEW P2C CONNECTIONS DISCOVERED,NEW IXP CONNECTIONS DISCOVERED
14,3,47,-1.3500000000000014,6,1,4,1
14,3,48,1.3499999999999979,18,3,6,9
14,3,49,0.33999999999999986,11,0,11,0
14,3,50,0.33000000000000185,8,2,5,1
14,4,1,3.360000000000003,11,2,5,4
14,4,2,5.390000000000001,16,4,3,9
14,4,3,3.030000000000001,10,2,4,4
14,4,4,-1.6799999999999997,0,0,0,0
14,4,5,2.3599999999999994,12,3,5,4
14,4,6,6.400000000000002,24,6,6,12
14,4,7,5.050000000000001,20,3,6,11
14,4,8,2.3599999999999994,8,1,3,4
14,4,9,0.0,3,0,3,0
14,4,10,1.3499999999999979,9,2,3,4
14,4,11,5.379999999999999,17,3,6,8
14,4,12,5.379999999999999,21,2,4,15
14,4,13,5.720000000000002,18,3,7,8
14,4,14,-3.710000000000001,3,1,2,0
14,4,15,0.6799999999999997,8,0,8,0
14,4,16,0.0,4,0,4,0
14,4,17,-0.3299999999999983,7,2,4,1
14,4,18,-0.6700000000000017,6,1,4,1
14,4,19,2.0199999999999996,17,3,6,8
14,4,20,-1.009999999999998,6,1,4,1
14,4,21,4.039999999999999,18,3,7,8
14,4,22,0.0,6,1,5,0
14,4,23,1.3499999999999979,16,3,6,7
14,4,24,2.3599999999999994,21,4,8,9
14,4,25,0.33999999999999986,7,1,5,1
14,4,26,0.0,6,1,5,0
14,4,27,1.009999999999998,8,2,6,0
14,4,28,-3.030000000000001,9,1,2,6
14,4,29,-1.6799999999999997,11,1,4,6
14,4,30,2.0199999999999996,18,3,6,9
14,4,31,0.6700000000000017,6,0,5,1
14,4,32,0.6699999999999982,10,3,6,1
14,4,33,1.3499999999999979,8,1,7,0
14,4,34,1.009999999999998,9,2,7,0
14,4,35,4.040000000000003,16,4,4,8
14,4,36,1.3499999999999979,8,0,4,4
14,4,37,6.400000000000002,20,3,9,8
14,4,38,1.0100000000000016,8,2,5,1
14,4,39,0.33999999999999986,6,0,6,0
14,4,40,1.3499999999999979,7,1,6,0
14,4,41,1.009999999999998,7,1,6,0
14,4,42,-1.3399999999999999,4,1,3,0
14,4,43,1.3499999999999979,10,2,7,1
14,4,44,0.0,8,1,4,3
14,4,45,0.6700000000000017,8,2,5,1
14,4,46,0.6699999999999982,9,2,6,1
14,4,47,-0.33999999999999986,6,1,4,1
14,4,48,1.6899999999999977,18,3,6,9
14,4,49,0.33999999999999986,12,0,12,0
14,4,50,1.0100000000000016,9,2,6,1
14,5,1,4.040000000000003,14,3,3,8
14,5,2,5.050000000000001,16,4,1,11
14,5,3,3.700000000000003,13,3,2,8
14,5,4,6.399999999999999,22,5,0,17
14,5,5,-1.0100000000000016,8,0,8,0
14,5,6,6.060000000000002,24,6,6,12
14,5,7,3.370000000000001,19,3,4,12
14,5,8,2.3599999999999994,11,2,1,8
14,5,9,0.33999999999999986,9,1,4,4
